,startid,endid
930,339,350
931,339,311
932,339,307
933,339,356
934,339,340
935,3632,350
936,3632,311
937,3632,307
938,3632,356
939,3632,340
940,445,350
941,445,311
942,445,307
943,445,356
944,445,340
945,266,350
946,266,311
947,266,307
948,266,356
949,266,340
950,394,399
951,394,364
952,394,244
953,394,258
954,394,275
955,339,399
956,339,364
957,339,244
958,339,258
959,339,275
960,3632,399
961,3632,364
962,3632,244
963,3632,258
964,3632,275
965,445,399
966,445,364
967,445,244
968,445,258
969,445,275
970,266,399
971,266,364
972,266,244
973,266,258
974,266,275
975,394,495
976,394,508
977,394,515
978,394,479
979,394,480
980,339,495
981,339,508
982,339,515
983,339,479
984,339,480
985,3632,495
986,3632,508
987,3632,515
988,3632,479
989,3632,480
990,445,495
991,445,508
992,445,515
993,445,479
994,445,480
995,266,495
996,266,508
997,266,515
998,266,479
999,266,480
1000,394,3308
1001,394,3408
1002,394,3298
1003,394,3303
1005,339,3308
1006,339,3408
1007,339,3298
1008,339,3303
1010,3632,3308
1011,3632,3408
1012,3632,3298
1013,3632,3303
1015,445,3308
1016,445,3408
1017,445,3298
1018,445,3303
1020,266,3308
1021,266,3408
1022,266,3298
1023,266,3303
1025,394,3394
1026,394,3393
1027,394,3342
1028,394,3333
1029,394,3669
1030,339,3394
1031,339,3393
1032,339,3342
1033,339,3333
1034,339,3669
1035,3632,3394
1036,3632,3393
1037,3632,3342
1038,3632,3333
1039,3632,3669
1040,445,3394
1041,445,3393
1042,445,3342
1043,445,3333
1044,445,3669
1045,266,3394
1046,266,3393
1047,266,3342
1048,266,3333
1049,266,3669
1050,394,3597
1051,394,3598
1052,394,3662
1053,394,3691
1054,394,3519
1055,339,3597
1056,339,3598
1057,339,3662
1058,339,3691
1059,339,3519
1060,3632,3597
1061,3632,3598
1062,3632,3662
1063,3632,3691
1064,3632,3519
1065,445,3597
1066,445,3598
1067,445,3662
1068,445,3691
1069,445,3519
1070,266,3597
1071,266,3598
1072,266,3662
1073,266,3691
1074,266,3519
1075,394,3505
1076,394,3622
1077,394,3499
1078,394,3504
1079,394,3507
1080,339,3505
1081,339,3622
1082,339,3499
1083,339,3504
1084,339,3507
1085,3632,3505
1086,3632,3622
1087,3632,3499
1088,3632,3504
1089,3632,3507
1090,445,3505
1091,445,3622
1092,445,3499
1093,445,3504
1094,445,3507
1095,266,3505
1096,266,3622
1097,266,3499
1098,266,3504
1099,266,3507
1100,394,3585
1101,394,3604
1102,394,3631
1103,394,3579
1104,394,3584
1105,339,3585
1106,339,3604
1107,339,3631
1108,339,3579
1109,339,3584
1110,3632,3585
1111,3632,3604
1112,3632,3631
1113,3632,3579
1114,3632,3584
1115,445,3585
1116,445,3604
1117,445,3631
1118,445,3579
1119,445,3584
1120,266,3585
1121,266,3604
1122,266,3631
1123,266,3579
1124,266,3584
1150,394,3042
1151,394,3043
1152,394,3044
1154,394,3046
1155,339,3042
1156,339,3043
1157,339,3044
1159,339,3046
1160,3632,3042
1161,3632,3043
1162,3632,3044
1164,3632,3046
1165,445,3042
1166,445,3043
1167,445,3044
1169,445,3046
1170,266,3042
1171,266,3043
1172,266,3044
1174,266,3046
1175,394,323
1176,394,390
1177,394,392
1178,394,261
1179,394,239
1180,339,323
1181,339,390
1182,339,392
1183,339,261
1184,339,239
1185,3632,323
1186,3632,390
1187,3632,392
1188,3632,261
1189,3632,239
1190,445,323
1191,445,390
1192,445,392
1193,445,261
1194,445,239
1195,266,323
1196,266,390
1197,266,392
1198,266,261
1199,266,239
1200,394,414
1201,394,418
1202,394,3674
1203,394,2000
1204,394,2001
1205,339,414
1206,339,418
1207,339,3674
1208,339,2000
1209,339,2001
1210,3632,414
1211,3632,418
1212,3632,3674
1213,3632,2000
1214,3632,2001
1215,445,414
1216,445,418
1217,445,3674
1218,445,2000
1219,445,2001
1220,266,414
1221,266,418
1222,266,3674
1223,266,2000
1224,266,2001
1250,394,3142
1251,394,3141
1252,394,3243
1253,394,3376
1254,394,3134
1255,339,3142
1256,339,3141
1257,339,3243
1258,339,3376
1259,339,3134
1260,3632,3142
1261,3632,3141
1262,3632,3243
1263,3632,3376
1264,3632,3134
1265,445,3142
1266,445,3141
1267,445,3243
1268,445,3376
1269,445,3134
1270,266,3142
1271,266,3141
1272,266,3243
1273,266,3376
1274,266,3134
1300,394,3528
1301,394,3522
1304,394,3616
1305,339,3528
1306,339,3522
1309,339,3616
1310,3632,3528
1311,3632,3522
1314,3632,3616
1315,445,3528
1316,445,3522
1319,445,3616
1320,266,3528
1321,266,3522
1324,266,3616
1325,394,3490
1326,394,3495
1327,394,3551
1328,394,3494
1329,394,3491
1330,339,3490
1331,339,3495
1332,339,3551
