taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
125,401301,50,404832.0,58.0,403851.0,95.0,404990.0,132.0,401377.0,145.0
126,802111,461,802089.0,502.0,103547.0,794.0,103625.0,834.0,104059.0,879.0
127,404250,11,404249.0,26.0,404144.0,62.0,402611.0,109.0,404835.0,112.0
129,503574,166,503582.0,188.0,503581.0,313.0,503575.0,329.0,503576.0,486.0
131,501329,6,501409.0,72.0,501330.0,156.0,501328.0,163.0,501410.0,184.0
134,504298,96,504285.0,131.0,504284.0,179.0,504518.0,184.0,504299.0,221.0
137,402674,60,402634.0,133.0,402049.0,152.0,402673.0,169.0,405336.0,174.0
139,500556,295,500580.0,321.0,500557.0,349.0,500581.0,376.0,500555.0,409.0
141,403994,11,401761.0,34.0,403504.0,98.0,401760.0,107.0,403993.0,134.0
142,403489,8,401417.0,62.0,403491.0,120.0,403513.0,140.0,401416.0,172.0
144,903130,89,803192.0,95.0,400081.0,199.0,402865.0,221.0,402755.0,243.0
145,901313,91,901312.0,212.0,901315.0,259.0,901314.0,265.0,551925.0,284.0
149,307383,97,307386.0,150.0,300143.0,197.0,300178.0,235.0,300181.0,271.0
150,901473,51,308159.0,66.0,801143.0,67.0,901472.0,87.0,300135.0,147.0
151,403114,51,403155.0,58.0,403115.0,118.0,401033.0,122.0,403154.0,161.0
152,404232,90,903229.0,94.0,401458.0,149.0,903092.0,167.0,403763.0,179.0
153,100484,212,100450.0,241.0,100482.0,271.0,100485.0,289.0,100449.0,341.0
156,200083,74,200011.0,76.0,202994.0,76.0,200084.0,97.0,200010.0,229.0
158,401386,92,405420.0,112.0,405133.0,130.0,405265.0,130.0,404286.0,157.0
161,404043,96,803081.0,143.0,450126.0,152.0,803080.0,158.0,803038.0,169.0
164,400323,174,400933.0,183.0,404039.0,185.0,803039.0,200.0,903235.0,218.0
166,403122,147,403454.0,165.0,403147.0,188.0,401464.0,193.0,404262.0,193.0
167,100370,119,902102.0,121.0,103910.0,122.0,100876.0,141.0,101059.0,153.0
168,101072,9,101014.0,15.0,102189.0,26.0,102209.0,28.0,102188.0,137.0
169,103921,21,104112.0,76.0,102447.0,87.0,102446.0,114.0,102363.0,132.0
170,402677,72,904040.0,117.0,803035.0,119.0,401772.0,135.0,402678.0,143.0
171,501077,354,501722.0,381.0,501005.0,427.0,501078.0,438.0,501767.0,479.0
172,203482,97,200099.0,165.0,200233.0,192.0,203426.0,196.0,201680.0,221.0
173,502572,298,502558.0,325.0,502557.0,363.0,502573.0,377.0,502556.0,506.0
174,100731,147,100652.0,157.0,103615.0,163.0,103618.0,243.0,102030.0,252.0
175,502633,28,502649.0,41.0,502648.0,90.0,502632.0,158.0,502650.0,207.0
176,203082,71,201126.0,133.0,250054.0,146.0,201125.0,222.0,201017.0,238.0
178,307510,62,307625.0,105.0,306819.0,188.0,300991.0,249.0,300950.0,265.0
181,305676,32,307936.0,80.0,305630.0,81.0,306634.0,138.0,308118.0,143.0
182,101491,223,103935.0,242.0,102899.0,249.0,103514.0,250.0,103517.0,266.0
183,100982,275,100949.0,286.0,100950.0,337.0,100981.0,347.0,100983.0,365.0
185,100809,257,103365.0,315.0,103305.0,324.0,103589.0,346.0,104329.0,356.0
188,303466,0,303465.0,121.0,303467.0,130.0,303947.0,233.0,303464.0,243.0
189,305804,142,305841.0,172.0,305842.0,241.0,305803.0,250.0,303534.0,256.0
191,501930,228,501962.0,236.0,501929.0,301.0,501931.0,312.0,501961.0,319.0
194,404350,67,404351.0,166.0,404353.0,179.0,405140.0,339.0,803215.0,585.0
195,308620,180,306086.0,219.0,306113.0,220.0,305097.0,236.0,305098.0,236.0
197,503661,147,504191.0,184.0,503660.0,209.0,504205.0,221.0,503662.0,286.0
198,503453,7,504175.0,46.0,901066.0,54.0,503454.0,82.0,504126.0,90.0
200,100613,356,100590.0,392.0,100614.0,573.0,100612.0,607.0,100589.0,611.0
203,500667,134,500677.0,224.0,804034.0,231.0,500668.0,243.0,500678.0,244.0
