bike_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
3443,400940,68,403132,168,402169,172,400941,176,402191,219
3447,401708,63,402295,88,401709,111,402298,126,402351,167
3457,400363,30,803117,83,402446,126,403620,128,400362,170
3458,400941,59,404992,165,403621,178,402229,180,405293,230
3459,405488,16,403887,183,402174,212,402682,214,803163,219
3461,803107,23,803147,82,803106,94,404969,155,404973,169
3462,401769,127,403252,155,401771,165,402680,167,403247,172
3463,404120,136,402856,143,403556,152,404936,181,403906,205
3466,404043,39,803081,86,803080,101,400938,157,400936,164
3467,400917,184,803160,211,402024,244,403323,257,400916,270
3472,903232,51,405151,95,405157,95,405152,150,903237,183
3474,803160,4,400917,35,400916,81,404132,157,401377,247
3489,404101,98,402085,149,401797,177,401669,222,903145,237
3490,401994,64,402001,71,401741,81,402000,154,405348,160
3491,401727,138,401740,172,402000,180,401729,201,405315,248
3492,405057,110,402004,151,400051,176,401991,190,401992,232
3493,402707,47,402002,149,405181,156,401993,170,401740,174
3494,403416,27,402809,63,401992,65,402003,102,402004,171
3495,401726,44,401725,157,402000,157,401727,176,405348,224
3496,401724,67,401725,108,401743,195,401726,219,401723,235
3497,401999,48,405315,96,402000,164,401727,208,401998,222
3498,803059,24,401998,51,405315,177,401729,205,401999,280
3499,401739,57,402461,176,401738,187,403438,216,401730,222
3500,400050,72,404103,109,401990,146,401991,153,402005,154
3501,400051,60,400102,118,402005,173,400101,202,401990,205
3502,402811,79,402809,172,402704,215,402705,239,400048,262
3503,403980,79,400101,126,400051,155,400053,196,400102,273
3504,404255,117,402805,138,402460,149,403671,181,402458,188
3505,903075,108,402458,126,403787,150,402503,168,403671,169
3506,402805,76,405057,103,404255,247,401992,269,402003,270
3507,403415,24,402504,87,402662,118,402661,129,400053,140
3508,404071,61,400477,67,402656,131,401272,133,402510,137
3509,401988,105,404341,116,404274,136,400103,245,404978,256
3510,400231,48,400284,95,400230,136,400283,136,402508,152
3511,400288,77,400287,109,400226,116,401078,123,401045,135
3518,404336,32,404334,66,402507,85,402659,123,401051,131
3520,400228,89,404963,91,400287,119,400285,135,401045,156
3521,400224,50,404278,64,400290,219,400225,223,400289,274
3527,402506,76,402660,95,400098,96,400097,99,402505,139
3529,401052,17,401070,126,404337,131,401051,138,405014,158
3531,401317,30,401275,33,401274,96,403276,102,400475,132
3533,402656,105,405182,107,400398,109,400477,113,402510,113
3534,401269,42,401079,86,404245,87,401044,100,401270,109
3535,400100,58,400101,114,401047,176,400099,209,401074,222
3536,403147,28,403122,53,400772,141,403148,147,403454,159
3538,400596,102,400677,102,400597,105,401436,109,401469,167
3539,401465,58,403886,113,401464,117,401441,159,401466,168
3540,402723,141,403139,147,400479,166,400396,181,404071,204
3541,402512,9,403604,20,405079,46,401444,62,403292,70
3542,401441,28,401463,37,803161,77,401442,80,401464,107
3543,401462,94,401442,174,401443,190,803161,200,403292,229
3545,403145,34,403125,72,403144,134,405234,183,404258,195
3547,403126,36,403127,54,403144,114,403142,118,403763,157
3551,402705,22,402704,168,401742,200,405181,210,402809,230
3552,404260,41,403148,96,403149,123,403119,177,400598,202
3553,401324,46,401267,49,401268,97,401325,115,903228,146
3622,400055,43,400056,91,400097,159,400054,160,400096,224
3623,400602,80,405234,110,400832,116,404262,127,404259,163
